season_id,season_label,anime_title,is_rerun,kind,index,song_title,artist,youtube_url,youtube_views,youtube_channel,anime_youtube_url,anime_youtube_views,anime_youtube_channel,last_searched_at
5806,2026夏アニメ,株式会社マジルミエ 第2期,False,OP,1,ラテマジック,syudou×八木勇征(FANTASTICS),https://www.youtube.com/watch?v=Vl3ETt9mP3o,356603,syudou,https://www.youtube.com/watch?v=bp1F_BYa27U,31530,TVアニメ『株式会社マジルミエ』公式チャンネル,2026-07-15T09:01:42
5806,2026夏アニメ,株式会社マジルミエ 第2期,False,ED,1,BooooM!!!,宝鐘マリン,https://www.youtube.com/watch?v=CFH1s2D8y1w,554192,Marine Ch. 宝鐘マリン,https://www.youtube.com/watch?v=CCjQ0FuVx7s,35685,TVアニメ『株式会社マジルミエ』公式チャンネル,2026-07-15T09:01:51
5806,2026夏アニメ,帰還者の魔法は特別です,True,OP,1,GET BACK,FLOW,,,,,,,
5806,2026夏アニメ,帰還者の魔法は特別です,True,ED,1,6を撫でる,ももすももす,,,,,,,
5806,2026夏アニメ,きみが死ぬまで恋をしたい,False,OP,1,Amore,ReoNa,https://www.youtube.com/watch?v=6C3zYwUmMKE,325501,ReoNa official YouTube channel,https://www.youtube.com/watch?v=01Vgu7BIxmI,126318,KADOKAWAanime,2026-07-17T09:01:02
5806,2026夏アニメ,きみが死ぬまで恋をしたい,False,ED,1,エテルネル,sajou no hana,https://www.youtube.com/watch?v=UxG--eGGNG8,36872,sajou no hana Official Channel,https://www.youtube.com/watch?v=bszg61aM_7E,6962,KADOKAWAanime,2026-07-15T09:02:00
5806,2026夏アニメ,君のことが大大大大大好きな100人の彼女 第3期,False,OP,1,大好き♡ずっと永遠に♡,恋太郎ファミリー,https://www.youtube.com/watch?v=cBhaKIqvUrQ,6386624,Bandai Namco Filmworks Channel,https://www.youtube.com/watch?v=cBhaKIqvUrQ,6386624,Bandai Namco Filmworks Channel,2026-07-14T09:01:45
5806,2026夏アニメ,「きみを愛する気はない」と言った次期公爵様がなぜか溺愛してきます,False,OP,1,いつかちゃんと。,りりあ。,https://www.youtube.com/watch?v=mgW0k9I0n-8,62831,りりあ。,,,,2026-07-12T09:00:45
5806,2026夏アニメ,「きみを愛する気はない」と言った次期公爵様がなぜか溺愛してきます,False,ED,1,最終回,sorato,https://www.youtube.com/watch?v=D2yjyOW6tjc,1056,sorato,,,,2026-07-11T09:00:59
5806,2026夏アニメ,ぐらんぶる Season 3,False,OP,1,夏子,FUNKY MONKEY BΛBY'S,,,,,,,
5806,2026夏アニメ,ぐらんぶる Season 3,False,ED,1,裸のマーメード,豆柴の大群,https://www.youtube.com/watch?v=_gLM5qjn5Hk,479566,NBCUniversal Anime/Music,https://www.youtube.com/watch?v=_gLM5qjn5Hk,479566,NBCUniversal Anime/Music,2026-07-15T09:02:20
5806,2026夏アニメ,クレバテスII-魔獣の王と偽りの勇者伝承-,False,OP,1,Foreshadow,前島麻由,https://www.youtube.com/watch?v=SiTi3WCmzfc,6984,KADOKAWAanime,https://www.youtube.com/watch?v=SiTi3WCmzfc,6984,KADOKAWAanime,2026-07-16T09:01:01
5806,2026夏アニメ,クレバテスII-魔獣の王と偽りの勇者伝承-,False,ED,1,Awake Anew,MYTH & ROID,https://www.youtube.com/watch?v=Tbyi0Tx1QLA,5191,KADOKAWAanime,https://www.youtube.com/watch?v=Tbyi0Tx1QLA,5191,KADOKAWAanime,2026-07-16T09:01:09
