season_id,season_label,order,title,is_rerun,broadcast_format,broadcast_start,animation_studio,op_title,op_artist,ed_title,ed_artist,detail_url
5806,2026夏アニメ,67,ヘルモード ～やり込み好きのゲーマーは廃設定の異世界で無双する～ 2nd Season,False,TVアニメ,2026年7月3日（金）～ TOKYO MXほか,横浜アニメーションラボ,○✕△□,浪漫派マシュマロ,Firetail,チョーキューメイ,https://www.animatetimes.com/tag/details.php?id=28020
5806,2026夏アニメ,68,北斗の拳 拳王軍ザコたちの挽歌 第2クール,False,TVアニメ,第1クール：2026年1月5日（月）～2026年3月23日（月） 第2クール：2026年7月6日（月）～ AT-X・TOKYO MXにて,動楽,"Blacker Co., Ltd.",イツカ▶,Elegy of the Enemies,The Canbellz,https://www.animatetimes.com/tag/details.php?id=26775
5806,2026夏アニメ,69,炎の闘球女 ドッジ弾子,False,TVアニメ,2026年7月6日（月）～ TOKYO MX・BS11ほか,CUE,会心の一劇,ももいろクローバーZ,Welcome to あざとさワールド,i☆Ris,https://www.animatetimes.com/tag/details.php?id=26401
5806,2026夏アニメ,70,魔法少女リリカルなのは EXCEEDS Gun Blaze Vengeance,False,TVアニメ,2026年7月4日（土）～ TOKYO MX・BS11ほか,Seven Arcs,CRIMSON BULLET,水樹奈々,Ephemeral,青木陽菜,https://www.animatetimes.com/tag/details.php?id=25418
5806,2026夏アニメ,71,身代わり令嬢を救ったのは冷酷無慈悲な氷の王子の愛でした,False,TVアニメ,2026年7月7日（火）～ TVKにて,Imagica Infos,,,とけて煌る,neNna,https://www.animatetimes.com/tag/details.php?id=28112
5806,2026夏アニメ,72,無自覚聖女は今日も無意識に力を垂れ流す,False,TVアニメ,2026年6月30日（火）～ AT-Xほか,マジックバス,Windmaker,花耶,アンノウンミー,ウタヒメドリーム オールスターズ【夢咲いぶき（CV:山﨑玲奈） 桜木舞華（CV:鈴木杏奈） 真白清美（CV:其原有沙） HiREN（CV:花耶） 水月ひかり（CV:礒部花凜） 高木凛（CV:鷲見友美ジェナ） 萩原ひまわり（CV:倉知玲鳳） SAKURAKO（CV:竹内夢）】,https://www.animatetimes.com/tag/details.php?id=26462
5806,2026夏アニメ,73,無職転生Ⅲ ～異世界行ったら本気だす～,False,TVアニメ,2026年7月5日（日）～ TOKYO MX・BS11ほか,,決意の唄,大原ゆい子,祈り、終われば,中島美嘉,https://www.animatetimes.com/tag/details.php?id=24285
5806,2026夏アニメ,74,メビウス・ダスト,False,TVアニメ,2026年7月9日（木）～ TOKYO MXほか,動画工房,メビウス,家入レオ,ジレンマ,冨岡愛,https://www.animatetimes.com/tag/details.php?id=28016
5806,2026夏アニメ,75,ヤニねこ,False,TVアニメ,2026年7月2日（木）～ TOKYO MX・BS11にて,バイブリーアニメーションスタジオ,なんもねえ,忘れらんねえよ,煙とブルー,ネクライトーキー,https://www.animatetimes.com/tag/details.php?id=27571
5806,2026夏アニメ,76,闇芝居 十七期,False,TVアニメ,2026年7月12日（日）～ テレ東にて,,,,闇芝居のブルース,風輪（徳間ジャパンコミュニケーションズ）,https://www.animatetimes.com/tag/details.php?id=28592
5806,2026夏アニメ,77,幼女戦記Ⅱ,False,TVアニメ,2026年7月8日（水）～ AT-X・TOKYO MXほか,NUT,Why? RED induction,MYTH & ROID,Weiter! Weiter!,ターニャ・デグレチャフ（CV：悠木碧）,https://www.animatetimes.com/tag/details.php?id=14369
5806,2026夏アニメ,78,鎧真伝サムライトルーパー 第2クール,False,TVアニメ,第1クール：2026年1月6日（火）〜2026年3月24日（火） 第2クール：2026年7月7日（火）～ TOKYO MXほか,サンライズ,YOAKE,blank paper,POWER,ONE OR EIGHT,https://www.animatetimes.com/tag/details.php?id=26202
5806,2026夏アニメ,79,落第賢者の学院無双～二度目の転生、Sランクチート魔術師冒険録～,False,TVアニメ,2026年7月1日（水）～ TOKYO MXほか,EMTスクエアード,＋ENCOUNT,FLOW,憧憬,TrySail,https://www.animatetimes.com/tag/details.php?id=27769
5806,2026夏アニメ,80,ラブライブ！虹ヶ咲学園スクールアイドル同好会,True,TVアニメ,2020年10月3日（土）～2020年12月26日（土） TOKYO MXほか 【再放送】 2026年7月1日（水）〜 BS日テレにて,サンライズ,虹色Passions！,虹ヶ咲学園スクールアイドル同好会,"NEO SKY, NEO MAP!",虹ヶ咲学園スクールアイドル同好会,https://www.animatetimes.com/tag/details.php?id=9267
5806,2026夏アニメ,81,ラブル＆クルー,False,TVアニメ,2026年7月12日（日）～ テレ東系6局ネット「アニもり！」内にて,,,,,,https://www.animatetimes.com/tag/details.php?id=26683
5806,2026夏アニメ,82,領民0人スタートの辺境領主様,False,TVアニメ,2026年7月10日（金）～ TOKYO MXほか,animation studio42,Wonder,CROWN HEAD,星降る夜の約束,花耶,https://www.animatetimes.com/tag/details.php?id=26472
5806,2026夏アニメ,83,令和のダラさん,False,TVアニメ,2026年7月2日（木）～ AT-X・TOKYO MXほか,旭プロダクション,ダラダラ♡ダンシング,ダラさん（CV：田村睦心） 三⼗⽊⾕⽇向（CV：津田美波） 三⼗⽊⾕薫（CV：寺澤百花） ナレーション（CV：てらそままさき）,ひなたぼっこ,REIRIE,https://www.animatetimes.com/tag/details.php?id=27242
5806,2026夏アニメ,84,レッツゴー怪奇組,False,TVアニメ,2026年7月5日（日）〜 TBS系全国28局ネットにて,C-Station,気味が悪いんだからねっ,SWEET STEADY,呪わしてね？,雨穴,https://www.animatetimes.com/tag/details.php?id=28373
5806,2026夏アニメ,85,LV999の村人,False,TVアニメ,2026年7月1日（水）～ テレ東ほか,ブレインズ・ベース,Not a Hero,藍月なくる&棗いつき,HP,ゆきむら。,https://www.animatetimes.com/tag/details.php?id=26648
5806,2026夏アニメ,86,ワールド イズ ダンシング,False,TVアニメ,2026年7月2日（木）～ TOKYO MX・BS朝日ほか,サイピク,終宵,マカロニえんぴつ,名もない花,hockrockb,https://www.animatetimes.com/tag/details.php?id=27472
5806,2026夏アニメ,87,ONE PIECE HEROINES,False,TVアニメ,2026年7月5日（日） 全国フジテレビ系にて,,,,,,https://www.animatetimes.com/tag/details.php?id=26606
5947,2026秋アニメ,1,アオアシ Season2,False,TVアニメ,2026年10月4日（日）～ NHK Eテレにて,トムス・エンタテインメント,,,,,https://www.animatetimes.com/tag/details.php?id=25889
5947,2026秋アニメ,2,アオのハコ 第2期,False,TVアニメ,2026年10月4日（日）～ TBS系にて,エレクトリックサーカス,,,,,https://www.animatetimes.com/tag/details.php?id=25746
5947,2026秋アニメ,3,おじさんはカワイイものがお好き。,False,TVアニメ,2026年10月～,ライデンフィルム,,,,,https://www.animatetimes.com/tag/details.php?id=27078
5947,2026秋アニメ,4,カードファイト!! ヴァンガード Divinez 運命星戦編,False,TVアニメ,2026年11月7日（土）～2026年11月21日（土） テレビ愛知・テレ東系列6局ネットほか 【劇場先行】 2026年10月2日（金）,キネマシトラス,,,,,https://www.animatetimes.com/tag/details.php?id=28214
5947,2026秋アニメ,5,ガールズ＆パンツァー もっとらぶらぶ作戦です！,False,TVアニメ,2026年10月～ TOKYO MX・BS日テレほか,P.A.WORKS,,,,,https://www.animatetimes.com/tag/details.php?id=25683
5947,2026秋アニメ,6,貸した魔力は【リボ払い】で強制徴収,False,TVアニメ,2026年10月～ テレビ朝日系ほか,SynergySP,,,,,https://www.animatetimes.com/tag/details.php?id=27102
5947,2026秋アニメ,7,彼方から,False,TVアニメ,2026年10⽉4⽇（⽇）～ TOKYO MXほか,スタジオディーン,,,,,https://www.animatetimes.com/tag/details.php?id=27963
5947,2026秋アニメ,8,仮面ライダーマイス,False,特撮,2026年9月〜 テレビ朝日系列にて,,,,,,https://www.animatetimes.com/tag/details.php?id=28713
5947,2026秋アニメ,9,帰還者の魔法は特別です 第2期,False,TVアニメ,2026年10月〜 フジテレビ「＋Ultra」ほか,アルボアニメーション,Sorrow,FLOW,Everlasting,krage,https://www.animatetimes.com/tag/details.php?id=23327
5947,2026秋アニメ,10,傷だらけ聖女より報復をこめて Season2,False,TVアニメ,2026年10月1日（木）〜 テレビ神奈川・CBCテレビにて,Imagica Infos,,,,,https://www.animatetimes.com/tag/details.php?id=25118
5947,2026秋アニメ,11,恐怖コレクター,False,TVアニメ,2026年10月～ NHK総合にて,,,,,,https://www.animatetimes.com/tag/details.php?id=27214
5947,2026秋アニメ,12,凶乱令嬢ニア・リストン 病弱令嬢に転生した神殺しの武人の華麗なる無双録,False,TVアニメ,2026年10月～,KONAMI animation,,,,,https://www.animatetimes.com/tag/details.php?id=27537
5947,2026秋アニメ,13,薬屋のひとりごと 第3期,False,TVアニメ,第1クール：2026年10月～ 第2クール：2027年4月～ 日本テレビ系にて,,,,,,https://www.animatetimes.com/tag/details.php?id=26369
5947,2026秋アニメ,14,ケロロ軍曹☆,False,TVアニメ,2026年秋,,,,,,https://www.animatetimes.com/tag/details.php?id=27337
5947,2026秋アニメ,15,幻想水滸伝,False,TVアニメ,2026年10月～ TOKYO MX ほか,,悲しみさえ大人びて,amazarashi,,,https://www.animatetimes.com/tag/details.php?id=25616
5947,2026秋アニメ,16,氷の城壁 第2期,False,TVアニメ,2026年10月1日（木）～ TBS系28局にて,スタジオKAI,,,,,https://www.animatetimes.com/tag/details.php?id=25508
5947,2026秋アニメ,17,サイバーパンク：エッジランナーズ2,False,配信,2026年秋 Netflixにて,TRIGGER,,,,,https://www.animatetimes.com/tag/details.php?id=28680
5947,2026秋アニメ,18,PSYREN -サイレン-,False,TVアニメ,2026年10月～ TOKYO MX・BS11ほか,サテライト,,,,,https://www.animatetimes.com/tag/details.php?id=27257
5947,2026秋アニメ,19,佐々木とピーちゃん シーズン２,False,TVアニメ,2026年10月～,SILVER LINK.,,,,,https://www.animatetimes.com/tag/details.php?id=23804
5947,2026秋アニメ,20,塩対応の佐藤さんが俺にだけ甘い,False,TVアニメ,2026年10月～,,,,,,https://www.animatetimes.com/tag/details.php?id=27964
5947,2026秋アニメ,21,紫禁・御猫房〜紫禁城猫警備室〜,False,TVアニメ,2026年10月～,,,,,,https://www.animatetimes.com/tag/details.php?id=28779
5947,2026秋アニメ,22,ジャンケットバンク,False,TVアニメ,2026年10月～ テレ東系列にて,CUE,,,,,https://www.animatetimes.com/tag/details.php?id=27908
5947,2026秋アニメ,23,朱色の仮面,False,TVアニメ,2026年10月～ 読売テレビ・日本テレビ系全国ネットにて,,,,,,https://www.animatetimes.com/tag/details.php?id=26362
5947,2026秋アニメ,24,獣王武神ダンデヴァイン,False,TVアニメ,2026年10月～,ライデンフィルム,曲名未発表,西川貴教,,,https://www.animatetimes.com/tag/details.php?id=28479
